"Eastern","EST","PRT"
"ET","EST","PRT"
"EDT","PRI","PRT"
"Western","PST","MST"
"Central","CST","EST"
"Mountain","PST","MST"
"Zulu","GMT","GMT"
"GMT","UTC","UTC"
"Victoria","ACT","AET"
"Vic","Victoria","Victoria"
